Activity ID,Date,Person,Call Connect,Pitch,Disposition,Customer Account ID,Outcome,,,,
00034tQ,9/11/2024,,No Answer,N/A,N/A,17482,#N/A,,,,
00kh6E5,9/3/2024,,No Answer,N/A,N/A,76518,#N/A,,,,
01pElO8,9/12/2024,Owner,Connected,AI,No interest,10898,Loss,,,,
026tfz5,9/12/2024,,No Answer,N/A,N/A,53359,#N/A,,,,
02cNE8F,9/3/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,26600,Open,,,,
0498JpwY8S,9/6/2024,Owner,Connected,AI,Engaged,29419,Loss,,,,
04n43O0,9/5/2024,,No Answer,N/A,N/A,33786,#N/A,,,,
05cdPMN,9/6/2024,,No Answer,N/A,N/A,85513,#N/A,,,,
06Q6UJH,9/9/2024,Manager,Connected,Operator,No Interest,97655,Loss,,,,
06RHo83,9/6/2024,,No Answer,N/A,N/A,40510,#N/A,,,,
07IT4x0,9/5/2024,Manager,Connected,Smooth,No Interest,57549,Loss,,,,
07XTDXe8Lq,9/5/2024,Manager,Connected,Smooth,No Interest,97786,Loss,,,,
08TMuuE,9/13/2024,,No Answer,N/A,N/A,18109,#N/A,,,,
0aUaItG,9/11/2024,,No Answer,N/A,N/A,65981,#N/A,,,,
0B20qCI,9/3/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,56722,Open,,,,
0B9hWB0,9/3/2024,Manager,Connected,AI,Deferred to Other Stakeholder,34482,Open,,,,
0BiMO0I,9/13/2024,,No Answer,N/A,N/A,24007,#N/A,,,,
0D0NaZC,9/5/2024,Manager,Connected,AI,No Interest,99342,Loss,,,,
0D29OY2,9/2/2024,Manager,Connected,Smooth,No Interest,64191,Loss,,,,
0HoT942,9/5/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,20434,Open,,,,
0jtTU3E,9/12/2024,Manager,Connected,Smooth,No Interest,64215,Loss,,,,
0kFq3lF,9/9/2024,,No Answer,N/A,N/A,10820,#N/A,,,,
0KlzO2pz03,9/11/2024,Manager,Connected,AI,No Interest,18636,Loss,,,,
0m8P98Y,9/11/2024,Manager,Connected,Operator,No Interest,55492,Loss,,,,
0M9c0o4,9/5/2024,Manager,Connected,Operator,No Interest,36110,Loss,,,,
0NOTA4aW2W,9/4/2024,Manager,Connected,Operator,No Interest,37254,Loss,,,,
0OsS46oqNs,9/2/2024,Manager,Connected,Operator,No Interest,15889,Loss,,,,
0RSUyR7,9/13/2024,,No Answer,N/A,N/A,11661,#N/A,,,,
0t31494,9/4/2024,,No Answer,N/A,N/A,15041,#N/A,,,,
0t7B9DT,9/5/2024,,No Answer,N/A,N/A,54823,#N/A,,,,
0Tq4boR,9/11/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,68194,Open,,,,
0V586Kd43g,9/3/2024,,No Answer,N/A,N/A,35026,#N/A,,,,
0VdsG7vp1g,9/10/2024,,No Answer,N/A,N/A,72918,#N/A,,,,
0VFJGnX,9/11/2024,,No Answer,N/A,N/A,27566,#N/A,,,,
0vvdjn1,9/4/2024,Manager,Connected,Smooth,No Interest,65162,Loss,,,,
0W8L1Fs0Zs,9/3/2024,,No Answer,N/A,N/A,71760,#N/A,,,,
0wH33urw4P,9/12/2024,Owner,Connected,AI,Engaged,70282,Open,,,,
0wo095drW2,9/12/2024,,No Answer,N/A,N/A,11992,#N/A,,,,
0xr7kae269,9/12/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,58433,Loss,,,,
0zi9Lw3,9/3/2024,,No Answer,N/A,N/A,62995,#N/A,,,,
0zk0yn3,9/5/2024,Owner,Connected,AI,No Interest,28249,Loss,,,,
0zu4kq2,9/13/2024,Manager,Connected,Operator,Engaged,28568,Open,,,,
12257vX,9/9/2024,,No Answer,N/A,N/A,15354,#N/A,,,,
12VdLYyTCx,9/12/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,81175,Open,,,,
131RhqS,9/13/2024,Owner,Connected,Operator,Engaged,65321,Open,,,,
14lwn5vn0C,9/12/2024,Manager,Connected,Operator,No Interest,34526,Loss,,,,
156t905,9/6/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,70431,Loss,,,,
15su0pT,9/5/2024,Manager,Connected,Smooth,No Interest,71476,Loss,,,,
166cPfJ,9/3/2024,,No Answer,N/A,N/A,41747,#N/A,,,,
168z4U8,9/2/2024,,No Answer,N/A,N/A,43988,#N/A,,,,
16i2aO7,9/11/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,14887,Open,,,,
185vPd2,9/6/2024,Manager,Connected,Operator,No Interest,35022,Loss,,,,
18feO5D,9/6/2024,Owner,Connected,Operator,Engaged,53968,Open,,,,
199DcYv8v6,9/2/2024,Owner,Connected,AI,Engaged,32755,Loss,,,,
1Ad5tG8,9/11/2024,,No Answer,N/A,N/A,30153,#N/A,,,,
1b1KUWpP3N,9/5/2024,Manager,Connected,Operator,No Interest,86162,Loss,,,,
1B3NgQ4,9/12/2024,Owner,Connected,Smooth,No interest,59034,Loss,,,,
1BEwT0bzcD,9/2/2024,,No Answer,N/A,N/A,91418,#N/A,,,,
1DKv545,9/5/2024,,No Answer,N/A,N/A,78465,#N/A,,,,
1dRE925,9/10/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,64014,Loss,,,,
1drok42,9/5/2024,Manager,Connected,Operator,Engaged,38343,Loss,,,,
